Features: 16,,,,,,,,
Target Class: vips,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,
"Nu: 0.0001, Gamma: 0.0001",0,12,0,114,90.47619047619048,0,40,
"Nu: 0.0001, Gamma: 0.0002",0,12,0,114,90.47619047619048,0,40,
"Nu: 0.0001, Gamma: 0.0003",0,12,0,114,90.47619047619048,0,40,
"Nu: 0.0001, Gamma: 0.0004",0,12,0,114,90.47619047619048,0,40,
"Nu: 0.0001, Gamma: 0.005",0,12,0,114,90.47619047619048,0,40,
"Nu: 0.0001, Gamma: 0.05",12,0,113,1,10.317460317460316,0,40,
"Nu: 0.0001, Gamma: 0.0625",12,0,113,1,10.317460317460316,0,40,
"Nu: 0.0001, Gamma: 0.1",11,1,93,21,25.396825396825395,0,40,
"Nu: 0.0001, Gamma: 0.2",8,4,53,61,54.761904761904766,0,40,
"Nu: 0.0001, Gamma: 0.5",3,9,17,97,79.36507936507937,0,40,
"Nu: 0.0001, Gamma: 0.7",3,9,16,98,80.15873015873017,0,40,
"Nu: 0.0001, Gamma: 0.9",4,8,14,100,82.53968253968253,0,40,
"Nu: 0.0001, Gamma: 0.99",4,8,17,97,80.15873015873017,0,40,
"Nu: 0.0002, Gamma: 0.0001",0,12,0,114,90.47619047619048,0,40,
"Nu: 0.0002, Gamma: 0.0002",0,12,0,114,90.47619047619048,0,40,
"Nu: 0.0002, Gamma: 0.0003",0,12,0,114,90.47619047619048,0,40,
"Nu: 0.0002, Gamma: 0.0004",0,12,0,114,90.47619047619048,0,40,
"Nu: 0.0002, Gamma: 0.005",0,12,0,114,90.47619047619048,0,40,
"Nu: 0.0002, Gamma: 0.05",12,0,113,1,10.317460317460316,0,40,
"Nu: 0.0002, Gamma: 0.0625",12,0,113,1,10.317460317460316,0,40,
"Nu: 0.0002, Gamma: 0.1",11,1,93,21,25.396825396825395,0,40,
"Nu: 0.0002, Gamma: 0.2",8,4,66,48,44.44444444444444,0,40,
"Nu: 0.0002, Gamma: 0.5",10,2,72,42,41.269841269841265,0,40,
"Nu: 0.0002, Gamma: 0.7",10,2,70,44,42.857142857142854,0,40,
"Nu: 0.0002, Gamma: 0.9",10,2,72,42,41.269841269841265,0,40,
"Nu: 0.0002, Gamma: 0.99",7,5,51,63,55.55555555555556,0,40,
"Nu: 0.0003, Gamma: 0.0001",0,12,0,114,90.47619047619048,0,40,
"Nu: 0.0003, Gamma: 0.0002",0,12,0,114,90.47619047619048,0,40,
"Nu: 0.0003, Gamma: 0.0003",0,12,0,114,90.47619047619048,0,40,
"Nu: 0.0003, Gamma: 0.0004",0,12,0,114,90.47619047619048,0,40,
"Nu: 0.0003, Gamma: 0.005",7,5,74,40,37.301587301587304,0,40,
"Nu: 0.0003, Gamma: 0.05",12,0,113,1,10.317460317460316,0,40,
"Nu: 0.0003, Gamma: 0.0625",12,0,113,1,10.317460317460316,0,40,
"Nu: 0.0003, Gamma: 0.1",11,1,93,21,25.396825396825395,0,40,
"Nu: 0.0003, Gamma: 0.2",8,4,66,48,44.44444444444444,0,40,
"Nu: 0.0003, Gamma: 0.5",11,1,84,30,32.53968253968254,0,40,
"Nu: 0.0003, Gamma: 0.7",9,3,69,45,42.857142857142854,0,40,
"Nu: 0.0003, Gamma: 0.9",8,4,69,45,42.06349206349206,0,40,
"Nu: 0.0003, Gamma: 0.99",8,4,66,48,44.44444444444444,0,40,
"Nu: 0.0004, Gamma: 0.0001",0,12,0,114,90.47619047619048,0,40,
"Nu: 0.0004, Gamma: 0.0002",0,12,0,114,90.47619047619048,0,40,
"Nu: 0.0004, Gamma: 0.0003",0,12,0,114,90.47619047619048,0,40,
"Nu: 0.0004, Gamma: 0.0004",0,12,0,114,90.47619047619048,0,40,
"Nu: 0.0004, Gamma: 0.005",7,5,74,40,37.301587301587304,0,40,
"Nu: 0.0004, Gamma: 0.05",12,0,113,1,10.317460317460316,0,40,
"Nu: 0.0004, Gamma: 0.0625",12,0,113,1,10.317460317460316,0,40,
"Nu: 0.0004, Gamma: 0.1",11,1,93,21,25.396825396825395,0,40,
"Nu: 0.0004, Gamma: 0.2",11,1,89,25,28.57142857142857,0,40,
"Nu: 0.0004, Gamma: 0.5",11,1,84,30,32.53968253968254,0,40,
"Nu: 0.0004, Gamma: 0.7",8,4,73,41,38.88888888888889,0,40,
"Nu: 0.0004, Gamma: 0.9",7,5,59,55,49.2063492063492,0,40,
"Nu: 0.0004, Gamma: 0.99",4,8,35,79,65.87301587301587,0,40,
"Nu: 0.005, Gamma: 0.0001",0,12,0,114,90.47619047619048,0,40,
"Nu: 0.005, Gamma: 0.0002",0,12,0,114,90.47619047619048,0,40,
"Nu: 0.005, Gamma: 0.0003",7,5,74,40,37.301587301587304,0,40,
"Nu: 0.005, Gamma: 0.0004",7,5,74,40,37.301587301587304,0,40,
"Nu: 0.005, Gamma: 0.005",12,0,113,1,10.317460317460316,0,40,
"Nu: 0.005, Gamma: 0.05",12,0,113,1,10.317460317460316,0,40,
"Nu: 0.005, Gamma: 0.0625",12,0,113,1,10.317460317460316,0,40,
"Nu: 0.005, Gamma: 0.1",12,0,93,21,26.190476190476193,0,40,
"Nu: 0.005, Gamma: 0.2",11,1,92,22,26.190476190476193,0,40,
"Nu: 0.005, Gamma: 0.5",11,1,89,25,28.57142857142857,0,40,
"Nu: 0.005, Gamma: 0.7",11,1,83,31,33.33333333333333,0,40,
